"","x1_gender","x2_seniorcitizen","x3_partner","x4_dependents","x5_tenure","x6_contract","x7_paperlessbill","x8_paymntmethod","x9_mthlycharges","x10_totalcharges","x11_phone","x12_multipleline","x13_internet","x14_onlinesecur","x15_onlinebckp","x16_devprotect","x17_techsupport","x18_streamtv","x19_streammovie","y_churn"
"19","Female",0,"Yes","Yes",10,"Month-to-month","No","Credit card (automatic)",55.2,528.35,"Yes","No","DSL","No","No","Yes","Yes","No","No",1
"20","Female",0,"No","No",21,"Month-to-month","Yes","Electronic check",90.05,1862.9,"Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes",0
"21","Male",1,"No","No",1,"Month-to-month","Yes","Electronic check",39.65,39.65,"No","No phone service","DSL","No","No","Yes","No","No","Yes",1
"22","Male",0,"Yes","No",12,"One year","No","Bank transfer (automatic)",19.8,202.25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"23","Male",0,"No","No",1,"Month-to-month","No","Mailed check",20.15,20.15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",1
"24","Female",0,"Yes","No",58,"Two year","Yes","Credit card (automatic)",59.9,3505.1,"Yes","Yes","DSL","No","Yes","No","Yes","No","No",0
"25","Male",0,"Yes","Yes",49,"Month-to-month","No","Credit card (automatic)",59.6,2970.3,"Yes","No","DSL","Yes","Yes","No","Yes","No","No",0
"26","Female",0,"No","No",30,"Month-to-month","Yes","Bank transfer (automatic)",55.3,1530.6,"Yes","No","DSL","Yes","Yes","No","No","No","No",0
"27","Male",0,"Yes","Yes",47,"Month-to-month","Yes","Electronic check",99.35,4749.15,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes",1
"28","Male",0,"Yes","Yes",1,"Month-to-month","No","Electronic check",30.2,30.2,"No","No phone service","DSL","No","Yes","No","No","No","No",1
"29","Male",0,"Yes","No",72,"Two year","Yes","Credit card (automatic)",90.25,6369.45,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes",0
"30","Female",0,"No","Yes",17,"Month-to-month","Yes","Mailed check",64.7,1093.1,"Yes","No","DSL","No","No","No","No","Yes","Yes",1
"31","Female",1,"Yes","No",71,"Two year","Yes","Credit card (automatic)",96.35,6766.95,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No",0
"32","Male",1,"Yes","No",2,"Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes",0
"33","Female",0,"Yes","Yes",27,"One year","No","Mailed check",66.15,1874.45,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No",0
"34","Male",0,"No","No",1,"Month-to-month","No","Bank transfer (automatic)",20.2,20.2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"35","Male",1,"No","No",1,"Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"Yes","No","DSL","No","No","No","No","No","No",0
"36","Female",0,"Yes","Yes",72,"Two year","No","Bank transfer (automatic)",99.9,7251.7,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No",0
"37","Male",0,"No","No",5,"Month-to-month","Yes","Electronic check",69.7,316.9,"Yes","No","Fiber optic","No","No","No","No","No","No",1
"38","Female",0,"No","No",46,"Month-to-month","Yes","Credit card (automatic)",74.8,3548.3,"Yes","No","Fiber optic","No","No","Yes","No","No","No",0
"39","Male",0,"No","No",34,"Month-to-month","Yes","Electronic check",106.35,3549.25,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",1
"40","Female",0,"No","No",11,"Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",1
"41","Male",0,"Yes","Yes",10,"One year","No","Mailed check",49.55,475.7,"Yes","No","DSL","No","Yes","No","No","No","No",0
"42","Female",0,"Yes","Yes",70,"Two year","Yes","Credit card (automatic)",69.2,4872.35,"Yes","Yes","DSL","Yes","Yes","No","No","Yes","No",0
"43","Female",0,"Yes","Yes",17,"One year","No","Mailed check",20.75,418.25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"44","Female",0,"No","No",63,"Two year","Yes","Credit card (automatic)",79.85,4861.45,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No",0
"45","Female",0,"Yes","No",13,"Month-to-month","Yes","Electronic check",76.2,981.45,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No",0
"46","Female",0,"No","No",49,"Month-to-month","Yes","Electronic check",84.5,3906.7,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes",0
"47","Male",0,"No","No",2,"Month-to-month","No","Mailed check",49.25,97,"Yes","No","DSL","No","Yes","No","No","No","No",0
"48","Female",0,"No","No",2,"Month-to-month","Yes","Electronic check",80.65,144.15,"Yes","No","Fiber optic","No","No","No","No","Yes","No",1
"49","Male",0,"No","No",52,"Two year","Yes","Credit card (automatic)",79.75,4217.8,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes",0
"50","Female",0,"Yes","Yes",69,"Two year","Yes","Credit card (automatic)",64.15,4254.1,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No",0
"51","Female",1,"No","No",43,"Month-to-month","Yes","Electronic check",90.25,3838.75,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No",0
"52","Female",0,"No","No",15,"Month-to-month","Yes","Credit card (automatic)",99.1,1426.4,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","Yes",1
"53","Female",1,"Yes","No",25,"Month-to-month","Yes","Credit card (automatic)",69.5,1752.65,"Yes","Yes","DSL","Yes","No","No","Yes","Yes","No",0
"54","Female",1,"Yes","No",8,"Month-to-month","Yes","Credit card (automatic)",80.65,633.3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No",1
"55","Female",1,"Yes","Yes",60,"One year","Yes","Credit card (automatic)",74.85,4456.35,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","Yes",0
"56","Male",1,"No","No",18,"Month-to-month","Yes","Electronic check",95.45,1752.55,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes",1
"57","Female",0,"Yes","Yes",63,"One year","Yes","Credit card (automatic)",99.65,6311.2,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes",0
"58","Male",1,"Yes","Yes",66,"One year","Yes","Electronic check",108.45,7076.35,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes",0
"59","Female",0,"Yes","Yes",34,"Two year","No","Credit card (automatic)",24.95,894.3,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"60","Female",0,"No","No",72,"Two year","Yes","Credit card (automatic)",107.5,7853.7,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes",0
"61","Female",0,"Yes","No",47,"Month-to-month","Yes","Electronic check",100.5,4707.1,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",0
"62","Male",0,"No","No",60,"Month-to-month","Yes","Bank transfer (automatic)",89.9,5450.7,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No",0
"63","Male",0,"Yes","No",72,"Two year","No","Bank transfer (automatic)",42.1,2962,"No","No phone service","DSL","Yes","Yes","Yes","No","No","No",0
"64","Female",0,"Yes","Yes",18,"One year","Yes","Credit card (automatic)",54.4,957.1,"Yes","No","DSL","No","No","Yes","Yes","No","No",0
"65","Female",0,"No","No",9,"Month-to-month","No","Electronic check",94.4,857.25,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes",1
"66","Female",0,"No","No",3,"Month-to-month","Yes","Electronic check",75.3,244.1,"Yes","No","DSL","No","Yes","No","Yes","Yes","Yes",0
"67","Male",0,"Yes","No",47,"One year","Yes","Electronic check",78.9,3650.35,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No",0
"68","Female",0,"No","No",31,"Two year","No","Mailed check",79.2,2497.2,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes",0
"69","Female",0,"Yes","Yes",50,"Two year","No","Bank transfer (automatic)",20.15,930.9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"70","Male",0,"No","No",10,"Month-to-month","Yes","Mailed check",79.85,887.35,"Yes","No","Fiber optic","Yes","No","Yes","No","No","No",0
"71","Male",0,"No","No",1,"Month-to-month","No","Mailed check",49.05,49.05,"Yes","No","DSL","No","No","No","Yes","No","No",0
"72","Female",0,"Yes","Yes",52,"One year","Yes","Electronic check",20.4,1090.65,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"73","Male",1,"Yes","Yes",64,"Two year","Yes","Bank transfer (automatic)",111.6,7099,"Yes","Yes","Fiber optic","Yes","No","Yes","Yes","Yes","Yes",0
"74","Male",0,"Yes","Yes",62,"Two year","Yes","Bank transfer (automatic)",24.25,1424.6,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"75","Female",0,"No","Yes",3,"Month-to-month","Yes","Bank transfer (automatic)",64.5,177.4,"Yes","No","DSL","Yes","No","No","Yes","No","Yes",0
"76","Female",1,"No","No",56,"One year","No","Electronic check",110.5,6139.5,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes",0
"77","Female",0,"No","No",46,"One year","No","Credit card (automatic)",55.65,2688.85,"Yes","No","DSL","No","No","No","No","No","Yes",0
"78","Female",0,"Yes","Yes",8,"Month-to-month","No","Mailed check",54.65,482.25,"Yes","No","DSL","Yes","Yes","No","No","No","No",0
"79","Male",1,"No","No",30,"Month-to-month","Yes","Electronic check",74.75,2111.3,"Yes","No","DSL","Yes","Yes","No","No","Yes","Yes",0
"80","Female",0,"Yes","Yes",45,"One year","Yes","Credit card (automatic)",25.9,1216.6,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"81","Female",0,"No","Yes",1,"Month-to-month","Yes","Electronic check",79.35,79.35,"Yes","No","Fiber optic","No","No","No","No","Yes","No",1
"82","Female",0,"Yes","Yes",11,"Month-to-month","No","Electronic check",50.55,565.35,"No","No phone service","DSL","Yes","No","No","No","Yes","Yes",0
"83","Female",0,"Yes","No",7,"Month-to-month","Yes","Bank transfer (automatic)",75.15,496.9,"Yes","No","Fiber optic","No","No","Yes","No","No","No",1
"84","Female",0,"No","No",42,"Month-to-month","Yes","Bank transfer (automatic)",103.8,4327.5,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes",0
"85","Female",0,"Yes","No",49,"Two year","Yes","Bank transfer (automatic)",20.15,973.35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"86","Male",0,"No","No",9,"Month-to-month","Yes","Credit card (automatic)",99.3,918.75,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes",0
"87","Female",0,"Yes","No",35,"One year","Yes","Bank transfer (automatic)",62.15,2215.45,"Yes","No","DSL","Yes","No","No","No","Yes","No",0
"88","Female",0,"Yes","Yes",48,"Two year","No","Bank transfer (automatic)",20.65,1057,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"89","Female",0,"Yes","Yes",46,"Two year","Yes","Mailed check",19.95,927.1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"90","Male",0,"Yes","No",29,"Month-to-month","No","Mailed check",33.75,1009.25,"No","No phone service","DSL","No","No","No","No","Yes","No",0
"91","Male",0,"Yes","Yes",30,"Month-to-month","No","Bank transfer (automatic)",82.05,2570.2,"Yes","No","Fiber optic","No","Yes","Yes","No","No","No",0
"92","Male",1,"No","No",1,"Month-to-month","No","Electronic check",74.7,74.7,"Yes","No","Fiber optic","No","No","No","Yes","No","No",0
"93","Male",0,"Yes","Yes",66,"Two year","Yes","Mailed check",84,5714.25,"Yes","Yes","DSL","Yes","No","Yes","Yes","Yes","Yes",0
"94","Female",0,"No","No",65,"Month-to-month","Yes","Credit card (automatic)",111.05,7107,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes",0
"95","Male",0,"No","No",72,"Two year","Yes","Bank transfer (automatic)",100.9,7459.05,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes",0
"96","Female",0,"No","No",12,"Month-to-month","Yes","Electronic check",78.95,927.35,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No",1
"97","Male",0,"Yes","Yes",71,"One year","Yes","Credit card (automatic)",66.85,4748.7,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No",0
"98","Male",0,"No","No",5,"Month-to-month","No","Mailed check",21.05,113.85,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",1
"99","Male",0,"No","No",52,"Two year","No","Bank transfer (automatic)",21,1107.2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"100","Female",1,"Yes","No",25,"Month-to-month","Yes","Electronic check",98.5,2514.5,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes",1
"101","Male",0,"No","No",1,"Month-to-month","No","Mailed check",20.2,20.2,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"102","Female",0,"Yes","Yes",1,"Month-to-month","No","Electronic check",19.45,19.45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"103","Male",0,"No","No",38,"One year","No","Bank transfer (automatic)",95,3605.6,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","No",0
"104","Female",1,"Yes","No",66,"One year","No","Bank transfer (automatic)",45.55,3027.25,"No","No phone service","DSL","No","Yes","Yes","No","Yes","No",0
"105","Male",0,"Yes","No",68,"Two year","Yes","Bank transfer (automatic)",110,7611.85,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes",1
"106","Male",0,"No","No",5,"Month-to-month","No","Mailed check",24.3,100.2,"No","No phone service","DSL","No","No","No","No","No","No",0
"107","Female",0,"Yes","Yes",72,"One year","Yes","Electronic check",104.15,7303.05,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes",0
"108","Female",0,"No","No",32,"One year","No","Mailed check",30.15,927.65,"No","No phone service","DSL","Yes","No","No","No","No","No",0
"109","Male",0,"No","No",43,"One year","No","Mailed check",94.35,3921.3,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes",0
"110","Male",0,"Yes","Yes",72,"Two year","No","Credit card (automatic)",19.4,1363.25,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"111","Male",0,"Yes","No",55,"Month-to-month","Yes","Electronic check",96.75,5238.9,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No",1
"112","Female",0,"No","No",52,"One year","No","Credit card (automatic)",57.95,3042.25,"Yes","No","DSL","Yes","No","Yes","Yes","No","No",0
"113","Female",0,"No","No",43,"Month-to-month","Yes","Electronic check",91.65,3954.1,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","No",0
"114","Female",1,"Yes","No",37,"Month-to-month","Yes","Electronic check",76.5,2868.15,"Yes","Yes","Fiber optic","No","No","No","No","No","No",1
"115","Female",0,"Yes","Yes",64,"Two year","Yes","Electronic check",54.6,3423.5,"No","No phone service","DSL","No","Yes","No","Yes","Yes","Yes",0
"116","Male",0,"Yes","Yes",3,"Month-to-month","No","Electronic check",89.85,248.4,"Yes","No","Fiber optic","Yes","Yes","No","No","Yes","No",0
"117","Female",0,"No","No",36,"Two year","No","Bank transfer (automatic)",31.05,1126.35,"No","No phone service","DSL","Yes","No","No","No","No","No",0
"118","Female",0,"Yes","Yes",10,"Month-to-month","Yes","Electronic check",100.25,1064.65,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes",1
"119","Female",0,"No","No",41,"Two year","No","Mailed check",20.65,835.15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"120","Male",0,"Yes","Yes",27,"Month-to-month","Yes","Credit card (automatic)",85.2,2151.6,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No",0
"121","Female",0,"Yes","Yes",56,"One year","Yes","Credit card (automatic)",99.8,5515.45,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes",0
"122","Female",0,"No","No",6,"Month-to-month","No","Mailed check",20.7,112.75,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"123","Male",0,"No","No",3,"Month-to-month","Yes","Electronic check",74.4,229.55,"Yes","Yes","Fiber optic","No","No","No","No","No","No",1
"124","Female",0,"Yes","Yes",7,"Month-to-month","No","Mailed check",50.7,350.35,"Yes","No","DSL","Yes","No","No","No","No","No",0
"125","Female",0,"Yes","Yes",4,"Month-to-month","No","Mailed check",20.85,62.9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"126","Male",0,"No","No",33,"Two year","Yes","Electronic check",88.95,3027.65,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","No",0
"127","Female",1,"No","No",27,"Month-to-month","Yes","Electronic check",78.05,2135.5,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No",1
"128","Male",0,"Yes","No",72,"Two year","Yes","Bank transfer (automatic)",23.55,1723.95,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"129","Male",0,"No","No",1,"Month-to-month","No","Mailed check",19.75,19.75,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"130","Male",1,"No","No",71,"One year","Yes","Electronic check",56.45,3985.35,"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes",0
"131","Female",0,"No","No",13,"Month-to-month","Yes","Electronic check",85.95,1215.65,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes",0
"132","Female",0,"Yes","Yes",25,"Month-to-month","Yes","Credit card (automatic)",58.6,1502.65,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes",1
"133","Male",0,"No","No",67,"Two year","No","Bank transfer (automatic)",50.55,3260.1,"Yes","No","DSL","No","No","No","Yes","No","No",0
"134","Male",0,"No","No",1,"Month-to-month","Yes","Electronic check",35.45,35.45,"No","No phone service","DSL","No","No","No","No","No","Yes",1
"135","Male",0,"No","No",2,"Month-to-month","No","Electronic check",44.35,81.25,"Yes","No","DSL","No","No","No","No","No","No",1
"136","Female",0,"No","No",43,"Two year","Yes","Credit card (automatic)",25.7,1188.2,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"137","Female",0,"No","No",23,"Month-to-month","Yes","Bank transfer (automatic)",75,1778.5,"Yes","No","Fiber optic","Yes","No","No","No","No","No",0
"138","Female",0,"Yes","Yes",64,"Two year","No","Mailed check",20.2,1277.75,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"139","Male",0,"No","Yes",57,"Two year","Yes","Mailed check",19.6,1170.55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"140","Female",1,"Yes","No",1,"Month-to-month","Yes","Mailed check",70.45,70.45,"Yes","No","Fiber optic","No","No","No","No","No","No",1
"141","Female",1,"Yes","Yes",72,"Two year","Yes","Credit card (automatic)",88.05,6425.65,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes",0
"142","Female",0,"No","No",8,"Month-to-month","No","Electronic check",71.15,563.65,"Yes","Yes","DSL","Yes","No","No","Yes","No","Yes",1
"143","Female",0,"Yes","No",61,"Two year","Yes","Bank transfer (automatic)",101.05,5971.25,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes",0
"144","Male",0,"No","No",64,"One year","Yes","Credit card (automatic)",84.3,5289.05,"Yes","Yes","Fiber optic","Yes","Yes","No","No","No","No",0
"145","Male",1,"Yes","No",71,"Two year","No","Bank transfer (automatic)",23.95,1756.2,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"146","Female",0,"Yes","Yes",65,"Two year","Yes","Credit card (automatic)",99.05,6416.7,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No",0
"147","Male",0,"No","No",3,"One year","No","Mailed check",19.6,61.35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"148","Male",0,"No","No",1,"Month-to-month","Yes","Electronic check",45.65,45.65,"Yes","No","DSL","No","No","No","No","No","No",1
"149","Male",0,"No","Yes",30,"One year","No","Credit card (automatic)",64.5,1929.95,"Yes","No","DSL","No","Yes","Yes","No","Yes","No",0
"150","Male",0,"Yes","Yes",15,"Month-to-month","Yes","Mailed check",69.5,1071.4,"Yes","No","DSL","No","Yes","Yes","Yes","No","Yes",0
"151","Female",0,"Yes","Yes",8,"Month-to-month","Yes","Electronic check",68.55,564.35,"Yes","No","DSL","No","No","No","Yes","Yes","Yes",0
"152","Male",0,"No","No",7,"Month-to-month","No","Mailed check",95,655.5,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes",1
"153","Female",0,"Yes","Yes",70,"One year","Yes","Credit card (automatic)",108.15,7930.55,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes",0
"154","Male",0,"Yes","Yes",62,"Two year","No","Electronic check",86.1,5215.25,"Yes","No","DSL","Yes","Yes","Yes","Yes","Yes","Yes",0
"155","Female",0,"Yes","Yes",6,"Month-to-month","No","Mailed check",19.7,113.5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"156","Female",0,"Yes","Yes",14,"Month-to-month","Yes","Bank transfer (automatic)",80.9,1152.8,"Yes","No","Fiber optic","No","No","No","No","No","Yes",0
"157","Female",0,"No","No",22,"Month-to-month","Yes","Bank transfer (automatic)",84.15,1821.95,"Yes","Yes","Fiber optic","No","No","No","No","Yes","No",0
"158","Male",0,"Yes","Yes",22,"One year","No","Mailed check",20.15,419.9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"159","Male",0,"Yes","Yes",16,"Two year","No","Mailed check",64.25,1024,"Yes","No","DSL","Yes","No","Yes","No","Yes","No",0
"160","Male",0,"No","No",10,"Two year","No","Bank transfer (automatic)",25.7,251.6,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"161","Female",0,"No","Yes",13,"Month-to-month","Yes","Electronic check",56,764.55,"Yes","No","DSL","Yes","Yes","No","No","No","No",0
"162","Female",0,"Yes","No",20,"Month-to-month","No","Electronic check",82.4,1592.35,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No",1
"163","Female",0,"No","No",2,"Month-to-month","Yes","Electronic check",69.7,135.2,"Yes","No","Fiber optic","No","No","No","No","No","No",0
"164","Male",0,"No","No",53,"Two year","Yes","Bank transfer (automatic)",73.9,3958.25,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes",0
"165","Female",0,"Yes","Yes",11,"One year","No","Mailed check",20.6,233.9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"166","Male",0,"Yes","No",69,"Two year","No","Mailed check",19.9,1363.45,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"167","Female",0,"No","No",4,"Month-to-month","Yes","Bank transfer (automatic)",70.9,273,"Yes","No","Fiber optic","No","No","No","No","No","No",1
"168","Male",0,"Yes","No",72,"Two year","Yes","Bank transfer (automatic)",89.05,6254.45,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes",0
"169","Male",1,"Yes","No",58,"Month-to-month","Yes","Electronic check",45.3,2651.2,"No","No phone service","DSL","No","Yes","Yes","No","No","Yes",1
"170","Female",0,"Yes","Yes",16,"Month-to-month","No","Electronic check",20.4,321.4,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
"171","Male",0,"Yes","No",43,"One year","Yes","Bank transfer (automatic)",84.25,3539.25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","No","No",0
"172","Female",0,"Yes","No",2,"Month-to-month","Yes","Electronic check",104.4,242.8,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes",1
"173","Male",0,"Yes","No",14,"Two year","No","Mailed check",81.95,1181.75,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes",0
"174","Female",0,"Yes","No",53,"One year","Yes","Bank transfer (automatic)",94.85,5000.2,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes",1
"175","Female",0,"No","No",32,"One year","No","Bank transfer (automatic)",20.55,654.55,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",0
